zip,commune,province,rank
1330,RIXENSART,Brabant Wallon,568.0
7540,TOURNAI,Hainaut,281.0
Saint-Nicolas,SAINT-NICOLAS,Liège,12.0
1480,TUBIZE,Brabant Wallon,187.0
3540,HERK-DE-STAD,Limbourg,406.0
3220,HOLSBEEK,Brabant Flamand,512.0
4450,JUPRELLE,Liège,418.0
6182,COURCELLES,Hainaut,41.0
9190,STEKENE,Flandre-Orientale,306.0
3512,HASSELT,Limbourg,411.0
2260,WESTERLO,Anvers,423.0
6462,CHIMAY,Hainaut,95.0
7538,TOURNAI,Hainaut,281.0
6769,MEIX-DEVANT-VIRTON,Luxembourg,191.0
4453,JUPRELLE,Liège,418.0
6760,VIRTON,Luxembourg,110.0
3724,KORTESSEM,Limbourg,206.0
4711,LONTZEN,Liège,323.0
1930,ZAVENTEM,Brabant Flamand,510.0
9840,DE PINTE,Flandre-Orientale,560.0
5362,HAMOIS,Namur,413.0
4601,VISÉ,Liège,150.0
3384,GLABBEEK,Brabant Flamand,478.0
8583,AVELGEM,Flandre-Occidentale,105.0
4020,LIÈGE,Liège,83.0
9320,AALST,Flandre-Orientale,227.0
6856,PALISEUL,Luxembourg,131.0
4620,FLÉRON,Liège,97.0
3450,GEETBETS,Brabant Flamand,155.0
6986,LA ROCHE-EN-ARDENNE,Luxembourg,70.0
6840,NEUFCHÂTEAU,Luxembourg,123.0
6990,HOTTON,Luxembourg,51.0
5370,HAVELANGE,Namur,248.0
9070,DESTELBERGEN,Flandre-Orientale,550.0
1435,MONT-SAINT-GUIBERT,Brabant Wallon,314.0
9550,HERZELE,Flandre-Orientale,363.0
4852,PLOMBIÈRES,Liège,149.0
2320,HOOGSTRATEN,Anvers,500.0
9970,KAPRIJKE,Flandre-Orientale,530.0
3472,KORTENAKEN,Brabant Flamand,300.0
1020,BRUXELLES,Bruxelles (19 communes),494.0
3620,LANAKEN,Limbourg,125.0
6530,THUIN,Hainaut,106.0
4042,HERSTAL,Liège,93.0
9160,LOKEREN,Flandre-Orientale,337.0
7870,LENS,Hainaut,328.0
1840,LONDERZEEL,Brabant Flamand,376.0
9920,LIEVEGEM,Flandre-Orientale,408.0
5170,PROFONDEVILLE,Namur,339.0
6591,MOMIGNIES,Hainaut,3.0
9636,ZWALM,Flandre-Orientale,421.0
1390,GREZ-DOICEAU,Brabant Wallon,548.0
7063,SOIGNIES,Hainaut,67.0
8880,LEDEGEM,Flandre-Occidentale,207.0
7601,PÉRUWELZ,Hainaut,57.0
1601,SINT-PIETERS-LEEUW,Brabant Flamand,448.0
4672,BLÉGNY,Liège,374.0
1030,SCHAERBEEK,Bruxelles (19 communes),404.0
5523,ONHAYE,Namur,133.0
8400,OOSTENDE,Flandre-Occidentale,168.0
4630,SOUMAGNE,Liège,205.0
3120,TREMELO,Brabant Flamand,446.0
4260,BRAIVES,Liège,245.0
8421,DE HAAN,Flandre-Occidentale,257.0
